 (Half Day),（半天）
Delivery Status,交貨狀態
Delivery Time,交貨時間
Delivery To,為了交付
Department,部門
Depends on LWP,依賴於LWP
Description,描述
Description HTML,說明HTML
Description of a Job Opening,空缺職位說明
Designation,指定
Detailed Breakup of the totals,總計詳細分手
Details,詳細信息
Difference,差異
Difference Account,差異帳戶
Different UOM for items will lead to incorrect,不同計量單位的項目會導致不正確的
Disable Rounded Total,禁用圓角總
Discount  %,折扣％
Discount %,折扣％
Discount (%),折讓（％）
"Discount Fields will be available in Purchase Order, Purchase Receipt, Purchase Invoice",折扣場將在採購訂單，採購入庫單，採購發票
Discount(%),折讓（％）
Display all the individual items delivered with the main items,顯示所有交付使用的主要項目的單個項目
Distinct unit of an Item,該產品的獨特單位
Distribute transport overhead across items.,分佈到項目的傳輸開銷。
Distribution,分配
Distribution Id,分配標識
Distribution Name,分配名稱
Distributor,經銷商
Divorced,離婚
Do Not Contact,不要聯繫
Do not show any symbol like $ etc next to currencies.,不要顯示，如$等任何符號旁邊貨幣。
Do you really want to STOP ,
Do you really want to STOP this Material Request?,你真的要停止這種材料要求？
Do you really want to Submit all Salary Slip for month : ,
Do you really want to UNSTOP ,
Do you really want to UNSTOP this Material Request?,難道你真的想要UNSTOP此材料要求？
Doc Name,文件名稱
Doc Type,文件類型
Document Description,文檔說明
Document Type,文件類型
Documentation,文檔
Documents,文件
Domain,域
Don't send Employee Birthday Reminders,不要送員工生日提醒
Download Materials Required,下載所需材料
Download Reconcilation Data,下載Reconcilation數據
Download Template,下載模板
Download a report containing all raw materials with their latest inventory status,下載一個包含所有原料一份報告，他們最新的庫存狀態
"Download the Template, fill appropriate data and attach the modified file.",無生產訂單創建。
"Download the Template, fill appropriate data and attach the modified file.
All dates and employee combination in the selected period will come in the template, with existing attendance records",
Draft,草案
Dropbox,Dropbox的
Dropbox Access Allowed,Dropbox的允許訪問
Dropbox Access Key,Dropbox的訪問鍵
Dropbox Access Secret,Dropbox的訪問秘密
Due Date,到期日
Duplicate Item,重複項目
EMP/,EMP /
ERPNext Setup,ERPNext設置
ERPNext Setup Guide,ERPNext安裝指南
"ERPNext is an open-source web based ERP made by Web Notes Technologies Pvt Ltd. to provide an integrated tool to manage most processes in a small organization. For more information about Web Notes, or to buy hosting servies, go to ",
ESIC CARD No,ESIC卡無
ESIC No.,ESIC號
Earliest,最早
Earning,盈利
Earning & Deduction,收入及扣除
Earning Type,收入類型
Earning1,Earning1
Edit,編輯
Educational Qualification,學歷
Educational Qualification Details,學歷詳情
Eg. smsgateway.com/api/send_sms.cgi,例如：。 smsgateway.com / API / send_sms.cgi
Electricity Cost,電力成本
Electricity cost per hour,每小時電費
Email,電子郵件
Email Digest,電子郵件摘要
Email Digest Settings,電子郵件摘要設置
Email Digest: ,電子郵件摘要：
Email Id,電子郵件Id
"Email Id must be unique, already exists for: ",電子郵件ID必須是唯一的，已經存在：
"Email Id where a job applicant will email e.g. ""jobs@example.com""",電子郵件Id其中一個應聘者的電子郵件，例如“jobs@example.com”
Email Sent?,郵件發送？
Email Settings,電子郵件設置
Email Settings for Outgoing and Incoming Emails.,電子郵件設置傳出和傳入的電子郵件。
Email ids separated by commas.,電子郵件ID，用逗號分隔。
"Email settings for jobs email id ""jobs@example.com""",電子郵件設置工作電子郵件ID“jobs@example.com”
"Email settings to extract Leads from sales email id e.g. ""sales@example.com""",電子郵件設置，以銷售電子郵件ID，例如“sales@example.com”提取信息
Emergency Contact,緊急聯絡人
Emergency Contact Details,緊急聯繫方式
Emergency Phone,緊急電話
Employee,僱員
Employee Birthday,員工生日
Employee Designation.,員工名稱。
Employee Details,員工詳細信息
Employee Education,員工教育
Employee External Work History,員工對外工作歷史
Employee Information,僱員資料
Employee Internal Work History,員工內部工作經歷
Employee Internal Work Historys,員工內部工作Historys
Employee Leave Approver,員工請假審批
Employee Leave Balance,員工休假餘額
Employee Name,員工姓名
Employee Number,員工人數
Employee Records to be created by,員工紀錄的創造者
Employee Settings,員工設置
Employee Setup,員工設置
Employee Type,員工類型
Employee grades,員工成績
Employee record is created using selected field. ,使用所選字段創建員工記錄。
Employee records.,員工記錄。
Employee: ,員工人數：
Employees Email Id,員工的電子郵件ID
Employment Details,就業信息
Employment Type,就業類型
Enable / Disable Email Notifications,啟用/禁用電子郵件通知
Enable Shopping Cart,啟用的購物車
Enabled,啟用
Encashment Date,兌現日期
End Date,結束日期
End date of current invoice's period,當前發票的期限的最後一天
End of Life,壽命結束
Enter Row,輸入行
Enter Verification Code,輸入驗證碼
Enter campaign name if the source of lead is campaign.,輸入活動名稱，如果鉛的來源是運動。
Enter department to which this Contact belongs,輸入部門的這種聯繫是屬於
Enter designation of this Contact,輸入該聯繫人指定
"Enter email id separated by commas, invoice will be mailed automatically on particular date",輸入電子郵件ID用逗號隔開，發票會自動在特定的日期郵寄
Enter items and planned qty for which you want to raise production orders or download raw materials for analysis.,輸入您想要提高生產訂單或下載的原材料進行分析的項目和計劃數量。
Enter name of campaign if source of enquiry is campaign,輸入活動的名稱，如果查詢來源是運動
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)",在這裡輸入靜態URL參數（如稱發件人= ERPNext，用戶名= ERPNext，密碼= 1234等）
Enter the company name under which Account Head will be created for this Supplier,輸入據此帳戶總的公司名稱將用於此供應商建立
Enter url parameter for message,輸入url參數的消息
Enter url parameter for receiver nos,輸入URL參數的接收器號
Entries,項
Entries against,將成為
Entries are not allowed against this Fiscal Year if the year is closed.,參賽作品不得對本財年，如果當年被關閉。
Error,錯誤
Error for,錯誤
Estimated Material Cost,預計材料成本
Everyone can read,每個人都可以閱讀
"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.",
Exchange Rate,匯率
Excise Page Number,消費頁碼
Excise Voucher,消費券
Exemption Limit,免稅限額
Exhibition,展覽
Existing Customer,現有客戶
Exit,出口
Exit Interview Details,退出面試細節
Expected,預期
Expected Date cannot be before Material Request Date,消息大於160個字符將會被分成多個消息
Expected Delivery Date,預計交貨日期
Expected End Date,預計結束日期
Expected Start Date,預計開始日期
Expense Account,費用帳戶
Expense Account is mandatory,費用帳戶是必需的
Expense Claim,報銷
Expense Claim Approved,報銷批准
Expense Claim Approved Message,報銷批准的消息
Expense Claim Detail,報銷詳情
Expense Claim Details,報銷詳情
Expense Claim Rejected,費用索賠被拒絕
Expense Claim Rejected Message,報銷拒絕消息
Expense Claim Type,費用報銷型
Expense Claim has been approved.,的
Expense Claim has been rejected.,不存在
Expense Claim is pending approval. Only the Expense Approver can update status.,使項目所需的質量保證和質量保證在沒有採購入庫單
Expense Date,犧牲日期
Expense Details,費用詳情
Expense Head,總支出
Expense account is mandatory for item,交際費是強制性的項目
Expense/Difference account is mandatory for item: ,費用/差異帳戶是強制性的項目：
Expenses Booked,支出預訂
Expenses Included In Valuation,支出計入估值
Expenses booked for the digest period,預訂了消化期間費用
Expiry Date,到期時間
Exports,出口
External,外部
Extract Emails,提取電子郵件
FCFS Rate,FCFS率
FIFO,FIFO
Failed: ,失敗：
Family Background,家庭背景
Fax,傳真
Features Setup,功能設置
Feed,飼料
Feed Type,飼料類型
Feedback,反饋
Female,女
Fetch exploded BOM (including sub-assemblies),取爆炸BOM（包括子組件）
"Field available in Delivery Note, Quotation, Sales Invoice, Sales Order",在送貨單，報價單，銷售發票，銷售訂單可用字段
Files Folder ID,文件夾的ID
Fill the form and save it,填寫表格，並將其保存
Filter By Amount,過濾器以交易金額計算
Filter By Date,篩選通過日期
Filter based on customer,過濾器可根據客戶
Filter based on item,根據項目篩選
Financial Analytics,財務分析
Financial Statements,財務報表附註
Finished Goods,成品
First Name,名字
First Responded On,首先作出回應
Fiscal Year,財政年度
Fixed Asset Account,固定資產帳戶
Float Precision,float精度
Follow via Email,通過電子郵件跟隨
"Following table will show values if items are sub - contracted. These values will be fetched from the master of ""Bill of Materials"" of sub - contracted items.",下表將顯示值，如果項目有子 - 簽約。這些值將被從子的“材料清單”的主人進賬 - 已簽約的項目。
For Company,對於公司
For Employee,對於員工
For Employee Name,對於員工姓名
For Production,對於生產
For Reference Only.,僅供參考。
For Sales Invoice,對於銷售發票
For Server Side Print Formats,對於服務器端打印的格式
For Supplier,已過期
For UOM,對於計量單位
For Warehouse,對於倉​​庫
"For e.g. 2012, 2012-13",對於例如2012，2012-13
For opening balance entry account can not be a PL account,對於期初餘額進入帳戶不能是一個PL帳戶
For reference,供參考
For reference only.,僅供參考。
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes",為方便客戶，這些代碼可以在打印格式，如發票和送貨單使用
Forum,論壇
Fraction,分數
Fraction Units,部分單位
Freeze Stock Entries,凍結庫存條目
Friday,星期五
From,從
From Bill of Materials,從材料清單
From Company,從公司
From Currency,從貨幣
From Currency and To Currency cannot be same,從貨幣和貨幣不能相同
From Customer,從客戶
From Customer Issue,如果您在製造業活動涉及<BR>
From Date,從日期
From Delivery Note,從送貨單
From Employee,從員工
From Lead,從鉛
From Maintenance Schedule,對參賽作品
From Material Request,下載模板，填寫相應的數據，並附加了修改後的文件。
From Opportunity,從機會
From Package No.,從包號
From Purchase Order,從採購訂單
From Purchase Receipt,從採購入庫單
From Quotation,從報價
From Sales Order,從銷售訂單
From Supplier Quotation,檢查是否有重複
From Time,從時間
From Value,從價值
From Value should be less than To Value,從數值應小於To值
Frozen,凍結的
Frozen Accounts Modifier,凍結帳戶修改
Fulfilled,適合
Full Name,全名
Fully Completed,全面完成
"Further accounts can be made under Groups,",進一步帳戶可以根據組進行，
Further nodes can be only created under 'Group' type nodes,此外節點可以在&#39;集團&#39;類型的節點上創建
GL Entry,GL報名
GL Entry: Debit or Credit amount is mandatory for ,GL錄入：借方或貸方金額是強制性的
GRN,GRN
Gantt Chart,甘特圖
Gantt chart of all tasks.,甘特圖的所有任務。
Gender,性別
General,一般
General Ledger,總帳
Generate Description HTML,生成的HTML說明
Generate Material Requests (MRP) and Production Orders.,生成材料要求（MRP）和生產訂單。
Generate Salary Slips,生成工資條
Generate Schedule,生成時間表
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.",生成裝箱單的包交付。用於通知包號，包裝內容和它的重量。
Generates HTML to include selected image in the description,生成HTML，包括所選圖像的描述
Get Advances Paid,獲取有償進展
Get Advances Received,取得進展收稿
Get Current Stock,獲取當前庫存
Get Items,找項目
Get Items From Sales Orders,獲取項目從銷售訂單
Get Items from BOM,獲取項目從物料清單
Get Last Purchase Rate,獲取最新預訂價
Get Non Reconciled Entries,獲取非對帳項目
Get Outstanding Invoices,獲取未付發票
Get Sales Orders,獲取銷售訂單
Get Specification Details,獲取詳細規格
Get Stock and Rate,獲取股票和速率
Get Template,獲取模板
Get Terms and Conditions,獲取條款和條件
Get Weekly Off Dates,獲取每週關閉日期
"Get valuation rate and available stock at source/target warehouse on mentioned posting date-time. If serialized item, please press this button after entering serial nos.",獲取估值率和可用庫存在上提到過賬日期 - 時間源/目標倉庫。如果序列化的項目，請輸入序列號後，按下此按鈕。
GitHub Issues,GitHub的問題
Global Defaults,全球默認值
Global Settings / Default Values,全局設置/默認值
Go to the appropriate group (usually Application of Funds > Current Assets > Bank Accounts),轉至相應的組（通常申請基金&gt;貨幣資產的&gt;銀行賬戶）
Go to the appropriate group (usually Source of Funds > Current Liabilities > Taxes and Duties),轉至相應的組（通常資金來源&gt;流動負債&gt;稅和關稅）
Goal,目標
Goals,目標
Goods received from Suppliers.,從供應商收到貨。
Google Drive,谷歌驅動器
Google Drive Access Allowed,谷歌驅動器允許訪問
Grade,等級
Graduate,畢業生
Grand Total,累計
Grand Total (Company Currency),總計（公司貨幣）
Gratuity LIC ID,酬金LIC ID
"Grid """,電網“
Gross Margin %,毛利率％
Gross Margin Value,毛利率價值
Gross Pay,工資總額
Gross Pay + Arrear Amount +Encashment Amount - Total Deduction,工資總額+欠費​​金額​​+兌現金額 - 扣除項目金額
Gross Profit,毛利
Gross Profit (%),毛利率（％）
Gross Weight,毛重
Gross Weight UOM,毛重計量單位
Group,組
Group or Ledger,集團或Ledger
Groups,組
HR,人力資源
HR Settings,人力資源設置
HTML / Banner that will show on the top of product list.,HTML /橫幅，將顯示在產品列表的頂部。
Half Day,半天
Half Yearly,半年度
Half-yearly,每半年一次
Happy Birthday!,祝你生日快樂！
Has Batch No,有批號
Has Child Node,有子節點
Has Serial No,有序列號
Header,頭
Heads (or groups) against which Accounting Entries are made and balances are maintained.,頭（或組）對其中的會計分錄是由與平衡得以維持。
Health Concerns,健康問題
Health Details,健康細節
Held On,舉行
Help,幫助
Help HTML,HTML幫助
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")",說明：要鏈接到另一個記錄在系統中，使用“＃表單/注意/ [注名]”的鏈接網址。 （不使用的“http://”）
"Here you can maintain family details like name and occupation of parent, spouse and children",在這裡，您可以維繫家庭的詳細信息，如姓名的父母，配偶和子女及職業
"Here you can maintain height, weight, allergies, medical concerns etc",在這裡，你可以保持身高，體重，過敏，醫療問題等
Hey! All these items have already been invoiced.,嘿！所有這些項目已開具發票。
Hide Currency Symbol,隱藏貨幣符號
High,高
History In Company,歷史在公司
Hold,持有
Holiday,節日
Holiday List,假日列表
Holiday List Name,假日列表名稱
Holidays,假期
Home,家
Host,主持人
"Host, Email and Password required if emails are to be pulled",主機，電子郵件和密碼必需的，如果郵件是被拉到
Hour Rate,小時率
Hour Rate Labour,小時勞動率
Hours,小時
How frequently?,多久？
"How should this currency be formatted? If not set, will use system defaults",應如何貨幣進行格式化？如果沒有設置，將使用系統默認
Human Resource,人力資源
I,我
IDT,IDT
II,二
III,三
IN,在
INV,投資
INV/10-11/,INV/10-11 /
ITEM,項目
IV,四
Identification of the package for the delivery (for print),包送貨上門鑑定（用於打印）
If Income or Expense,如果收入或支出
If Monthly Budget Exceeded,如果每月超出預算
"If Sale BOM is defined, the actual BOM of the Pack is displayed as table.
Available in Delivery Note and Sales Order",
"If Supplier Part Number exists for given Item, it gets stored here",如果供應商零件編號存在給定的項目，它被存放在這裡
If Yearly Budget Exceeded,如果年度預算超出
"If checked, BOM for sub-assembly items will be considered for getting raw materials. Otherwise, all sub-assembly items will be treated as a raw material.",如果選中，則BOM的子裝配項目將被視為獲取原料。否則，所有的子組件件，將被視為一個原料。
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day",如果選中，則總數。工作日將包括節假日，這將縮短每天的工資的價值
"If checked, an email with an attached HTML format will be added to part of the EMail body as well as attachment. To only send as attachment, uncheck this.",如果選中，則帶有附加的HTML格式的電子郵件會被添加到電子郵件正文的一部分，以及作為附件。如果只作為附件發送，請取消勾選此。
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount",如果選中，納稅額將被視為已包括在打印速度/打印量
"If disable, 'Rounded Total' field will not be visible in any transaction",如果禁用，“圓角總計”字段將不可見的任何交易
"If enabled, the system will post accounting entries for inventory automatically.",如果啟用，系統將自動為發布庫存會計分錄。
If more than one package of the same type (for print),如果不止一個包相同類型的（用於打印）
"If no change in either Quantity or Valuation Rate, leave the cell blank.",如果在任一數量或估價率沒有變化，離開細胞的空白。
If non standard port (e.g. 587),如果非標準端口（如587）
If not applicable please enter: NA,如果不適用，請輸入：不適用
"If not checked, the list will have to be added to each Department where it has to be applied.",如果未選中，則列表將被添加到每個部門，在那裡它被應用。
"If set, data entry is only allowed for specified users. Else, entry is allowed for all users with requisite permissions.",如果設置，數據輸入只允許指定的用戶。否則，條目允許具備必要權限的所有用戶。
"If specified, send the newsletter using this email address",如果指定了，使用這個電子郵件地址發送電子報
"If the account is frozen, entries are allowed to restricted users.",如果帳戶被凍結，條目被允許受限制的用戶。
"If this Account represents a Customer, Supplier or Employee, set it here.",如果該帳戶代表一個客戶，供應商或員工，在這裡設置。
"If you follow Quality Inspection<br>
Enables item QA Required and QA No in Purchase Receipt",
If you have Sales Team and Sale Partners (Channel Partners)  they can be tagged and maintain their contribution in the sales activity,如果你有銷售團隊和銷售合作夥伴（渠道合作夥伴），他們可以被標記，並維持其在銷售貢獻活動
"If you have created a standard template in Purchase Taxes and Charges Master, select one and click on the button below.",如果您在購置稅和費法師創建一個標準的模板，選擇一個，然後點擊下面的按鈕。
"If you have created a standard template in Sales Taxes and Charges Master, select one and click on the button below.",如果你已經在銷售稅金及費用法師創建一個標準的模板，選擇一個，然後點擊下面的按鈕。
"If you have long print formats, this feature can be used to split the page to be printed on multiple pages with all headers and footers on each page",如果你有很長的打印格式，這個功能可以被用來分割要打印多個頁面，每個頁面上的所有頁眉和頁腳的頁
"If you involve in manufacturing activity<br>
Enables item <b>Is Manufactured</b>",
Ignore,忽略
Ignored: ,忽略：
Image,圖像
Image View,圖像查看
Implementation Partner,實施合作夥伴
Import,進口
Import Attendance,進口出席
Import Failed!,導入失敗！
Import Log,導入日誌
Import Successful!,導入成功！
Imports,進口
In Hours,以小時為單位
In Process,在過程
In Qty,在數量
In Row,在排
In Value,在價值
In Words,中字
In Words (Company Currency),在字（公司貨幣）
In Words (Export) will be visible once you save the Delivery Note.,在字（出口）將是可見的，一旦你保存送貨單。
In Words will be visible once you save the Delivery Note.,在詞將是可見的，一旦你保存送貨單。
In Words will be visible once you save the Purchase Invoice.,在詞將是可見的，一旦你保存購買發票。
In Words will be visible once you save the Purchase Order.,在詞將是可見的，一旦你保存採購訂單。
In Words will be visible once you save the Purchase Receipt.,在詞將是可見的，一旦你保存購買收據。
In Words will be visible once you save the Quotation.,在詞將是可見的，一旦你保存報價。
In Words will be visible once you save the Sales Invoice.,在詞將是可見的，一旦你保存銷售發票。
In Words will be visible once you save the Sales Order.,在詞將是可見的，一旦你保存銷售訂單。
Incentives,獎勵
Incharge,Incharge
Incharge Name,Incharge名稱
Include holidays in Total no. of Working Days,包括節假日的總數。工作日
Income / Expense,收入/支出
Income Account,收入賬戶
Income Booked,收入預訂
Income Year to Date,收入年初至今
Income booked for the digest period,收入入賬的消化期
Incoming,來
Incoming / Support Mail Setting,來電/支持郵件設置
Incoming Rate,傳入速率
Incoming quality inspection.,來料質量檢驗。
Indicates that the package is a part of this delivery,表示該包是這個傳遞的一部分
Individual,個人
Industry,行業
Industry Type,行業類型
Inspected By,視察
Inspection Criteria,檢驗標準
Inspection Required,需要檢驗
Inspection Type,檢驗類型
Installation Date,安裝日期
Installation Note,安裝注意事項
Installation Note Item,安裝注意項
Installation Status,安裝狀態
Installation Time,安裝時間
Installation record for a Serial No.,對於一個序列號安裝記錄
Installed Qty,安裝數量
Instructions,說明
Integrate incoming support emails to Support Ticket,支付工資的月份：
Interested,有興趣
Internal,內部
Introduction,介紹
Invalid Delivery Note. Delivery Note should exist and should be in draft state. Please rectify and try again.,無效的送貨單。送貨單應該存在，應該是在草稿狀態。請糾正，然後再試一次。
Invalid Email Address,無效的電子郵件地址
Invalid Leave Approver,無效休假審批
Invalid Master Name,公司，月及全年是強制性的
Invalid quantity specified for item ,為項目指定了無效的數量
Inventory,庫存
Invoice Date,發票日期
Invoice Details,發票明細
Invoice No,發票號碼
Invoice Period From Date,發票日期開始日期
Invoice Period To Date,發票日期終止日期
Invoiced Amount (Exculsive Tax),發票金額（Exculsive稅）
Is Active,為活躍
Is Advance,為進
Is Asset Item,是資產項目
Is Cancelled,被註銷
Is Carry Forward,是弘揚
Is Default,是默認
Is Encash,為兌現
Is LWP,是LWP
Is Opening,是開幕
Is Opening Entry,是開放報名
Is PL Account,是PL賬戶
Is POS,是POS機
Is Primary Contact,是主要聯絡人
Is Purchase Item,是購買項目
Is Sales Item,是銷售項目
Is Service Item,是服務項目
Is Stock Item,是庫存項目
Is Sub Contracted Item,是次簽約項目
Is Subcontracted,轉包
Is this Tax included in Basic Rate?,包括在基本速率此稅？
Issue,問題
Issue Date,發行日期
Issue Details,問題詳情
Issued Items Against Production Order,發出對項目生產訂單
It can also be used to create opening stock entries and to fix stock value.,它也可以用來創建期初存貨項目和解決股票價值。
Item,項目
Item ,
Item Advanced,項目高級
Item Barcode,商品條碼
Item Batch Nos,項目批NOS
Item Classification,產品分類
Item Code,產品編號
Item Code (item_code) is mandatory because Item naming is not sequential.,產品編碼（item_code）是強制性的，因為產品的命名是不連續的。
Item Code and Warehouse should already exist.,產品編號和倉庫應該已經存在。
Item Code cannot be changed for Serial No.,產品編號不能為序列號改變
Item Customer Detail,項目客戶詳細
Item Description,項目說明
Item Desription,項目Desription
Item Details,產品詳細信息
Item Group,項目組
Item Group Name,項目組名稱
Item Group Tree,由於生產訂單可以為這個項目， \作
Item Groups in Details,在詳細信息產品組
Item Image (if not slideshow),產品圖片（如果不是幻燈片）
Item Name,項目名稱
Item Naming By,產品命名規則
Item Price,商品價格
Item Prices,產品價格
Item Quality Inspection Parameter,產品質量檢驗參數
Item Reorder,項目重新排序
Item Serial No,產品序列號
Item Serial Nos,產品序列號
Item Shortage Report,商品短缺報告
Item Supplier,產品供應商
Item Supplier Details,產品供應商詳細信息
Item Tax,產品稅
Item Tax Amount,項目稅額
Item Tax Rate,項目稅率
Item Tax1,項目Tax1
Item To Manufacture,產品製造
Item UOM,項目計量單位
Item Website Specification,項目網站規格
Item Website Specifications,項目網站產品規格
Item Wise Tax Detail ,項目智者稅制明細
Item classification.,項目分類。
Item is neither Sales nor Service Item,項目既不是銷售，也不服務項目
"Item must be a purchase item, \
					as it is present in one or many Active BOMs",
Item must have 'Has Serial No' as 'Yes',項目必須有&#39;有序列號&#39;為&#39;是&#39;
Item table can not be blank,項目表不能為空
Item to be manufactured or repacked,產品被製造或重新包裝
Item will be saved by this name in the data base.,項目將通過此名稱在數據庫中保存。
"Item, Warranty, AMC (Annual Maintenance Contract) details will be automatically fetched when Serial Number is selected.",當選擇序號項目，擔保，資產管理公司（常年維護保養合同）的詳細信息將自動獲取。
Item-wise Last Purchase Rate,項目明智的最後付款價
Item-wise Price List Rate,項目明智的價目表率
Item-wise Purchase History,項目明智的購買歷史
Item-wise Purchase Register,項目明智的購買登記
Item-wise Sales History,項目明智的銷售歷史
Item-wise Sales Register,項目明智的銷售登記
Items,項目
Items To Be Requested,項目要請求
"Items to be requested which are ""Out of Stock"" considering all warehouses based on projected qty and minimum order qty",這是“缺貨”的項目被要求考慮根據預計數量和最小起訂量為所有倉庫
Items which do not exist in Item master can also be entered on customer's request,不中主項存在的項目也可以根據客戶的要求進入
Itemwise Discount,Itemwise折扣
Itemwise Recommended Reorder Level,Itemwise推薦級別重新排序
JV,合資公司
Job Applicant,求職者
Job Opening,招聘開幕
Job User,工作簡介
Job Title,職位
"Job User, qualifications required etc.",所需的工作概況，學歷等。
Jobs Email Settings,喬布斯郵件設置
Journal Entries,日記帳分錄
Journal Entry,日記帳分錄
Journal Voucher,期刊券
Journal Voucher Detail,日記帳憑證詳細信息
Journal Voucher Detail No,日記帳憑證詳細說明暫無
KRA,KRA
"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment. ",保持銷售計劃的軌道。跟踪信息，報價，銷售訂單等從競選衡量投資回報。
Keep a track of communication related to this enquiry which will help for future reference.,保持跟踪的溝通與此相關的調查，這將有助於以供將來參考。
Key Performance Area,關鍵績效區
Key Responsibility Area,關鍵責任區
LEAD,鉛
LEAD/10-11/,LEAD/10-11 /
LEAD/MUMBAI/,鉛/孟買/
LR Date,LR日期
LR No,LR無
Label,標籤
Landed Cost Item,到岸成本項目
Landed Cost Items,到岸成本項目
Landed Cost Purchase Receipt,到岸成本外購入庫單
Landed Cost Purchase Receipts,到岸成本外購入庫單
Landed Cost Wizard,到岸成本嚮導
Last Name,姓
Last Purchase Rate,最後預訂價
Latest,最新
Latest Updates,最新更新
Lead,鉛
Lead Details,鉛詳情
Lead Id,鉛標識
Lead Name,鉛名稱
Lead Owner,鉛所有者
Lead Source,鉛源
Lead Status,鉛狀態
Lead Time Date,交貨時間日期
Lead Time Days,交貨期天
Lead Time days is number of days by which this item is expected in your warehouse. This days is fetched in Material Request when you select this item.,交貨期天是天由該項目預計將在您的倉庫的數量。這天是在申請材料中取出，當你選擇這個項目。
Lead Type,引線型
Leave Allocation,離開分配
Leave Allocation Tool,離開配置工具
Leave Application,離開應用
Leave Approver,離開審批
Leave Approver can be one of,離開審批者可以是一個
Leave Approvers,離開審批
Leave Balance Before Application,離開平衡應用前
Leave Block List,離開塊列表
Leave Block List Allow,離開阻止列表允許
Leave Block List Allowed,離開封鎖清單寵物
Leave Block List Date,留座日期表
Leave Block List Dates,留座日期表
Leave Block List Name,離開塊列表名稱
Leave Blocked,離開封鎖
Leave Control Panel,離開控制面板
Leave Encashed?,離開兌現？
Leave Encashment Amount,假期兌現金額
Leave Setup,離開設定
Leave Type,離開類型
Leave Type Name,離開類型名稱
Leave Without Pay,無薪假
Leave allocations.,離開分配。
Leave application has been approved.,休假申請已被批准。
Leave application has been rejected.,休假申請已被拒絕。
Leave blank if considered for all branches,離開，如果考慮所有分支空白
Leave blank if considered for all departments,離開，如果考慮各部門的空白
Leave blank if considered for all designations,離開，如果考慮所有指定空白
Leave blank if considered for all employee types,離開，如果考慮所有的員工類型空白
Leave blank if considered for all grades,離開，如果考慮所有級別空白
"Leave can be approved by users with Role, ""Leave Approver""",離開可以通過用戶與角色的批准，“給審批”
Ledger,萊傑
Ledgers,總帳
Left,左
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,法人/附屬賬戶與一個單獨的表屬於該組織。
Letter Head,信頭
Level,級別
Lft,LFT
List a few of your customers. They could be organizations or individuals.,列出一些你的客戶。他們可以是組織或個人。
List a few of your suppliers. They could be organizations or individuals.,列出一些你的供應商。他們可以是組織或個人。
"List a few products or services you buy from your suppliers or vendors. If these are same as your products, then do not add them.",列出你從你的供應商或供應商買幾個產品或服務。如果這些是與您的產品，那麼就不要添加它們。
List items that form the package.,形成包列表項。
List of holidays.,假期表。
List of users who can edit a particular Note,誰可以編輯特定票據的用戶列表
List this Item in multiple groups on the website.,列出這個項目在網站上多個組。
"List your products or services that you sell to your customers. Make sure to check the Item Group, Unit of Measure and other properties when you start.",列出您的產品或服務，你賣你的客戶。確保當你開始檢查項目組，測量及其他物業單位。
"List your tax heads (e.g. VAT, Excise) (upto 3) and their standard rates. This will create a standard template, you can edit and add more later.",列出你的頭稅（如增值稅，消費稅）（截至3）和它們的標準費率。這將創建一個標準的模板，您可以編輯和更多的稍後添加。
Live Chat,即時聊天
Loading...,載入中...
"Log of Activities performed by users against Tasks that can be used for tracking time, billing.",通過對用戶的任務，可用於跟踪時間，計費進行活動的日誌。
Login Id,登錄ID
Login with your new User ID,與你的新的用戶ID登錄
Logo,標誌
Logo and Letter Heads,標誌和信頭
Lost,丟失
Lost Reason,失落的原因
Low,低
Lower Income,較低的收入
MIS Control,MIS控制
MREQ-,MREQ  -
MTN Details,MTN詳情
Mail Password,郵件密碼
Mail Port,郵件端口
Main Reports,主報告
Maintain Same Rate Throughout Sales Cycle,保持同樣的速度在整個銷售週期
Maintain same rate throughout purchase cycle,在整個採購週期保持同樣的速度
Maintenance,保養
Maintenance Date,維修日期
Maintenance Details,保養細節
Maintenance Schedule,維護計劃
Maintenance Schedule Detail,維護計劃細節
Maintenance Schedule Item,維護計劃項目
Maintenance Schedules,保養時間表
Maintenance Status,維修狀態
Maintenance Time,維護時間
Maintenance Type,維護型
Maintenance Visit,維護訪問
Maintenance Visit Purpose,維護訪問目的
Major/Optional Subjects,大/選修課
Make ,使
Make Accounting Entry For Every Stock Movement,做會計分錄為每股份轉移
Make Bank Voucher,使銀行券
Make Credit Note,使信貸注
Make Debit Note,讓繳費單
Make Delivery,使交貨
Make Difference Entry,使不同入口
Make Excise Invoice,使消費稅發票
Make Installation Note,使安裝注意事項
